Meta_action_label,Action_label,Start Time (s),End Time (s)
[2] Consult sheets,[OP010] Consult sheets,2.72,9
[7] Picking left,[OP010] Catch Fixture key LARD,11.28,12.84
[12] Assemble system,[OP010] Place LARD on Profile P360-1,13.84,18.88
[6] Picking in front,[OP010] Catch Fixation FIXA1,23.32,25.44
[12] Assemble system,[OP010] Place FIXA1 on LARD at 160mm,26.48,28.8
[7] Picking left,[OP010] Catch Bolt B820,31.24,32.4
[8] Take measuring rod,[OP010] Take measuring rod,36.56,37.92
[4] Take screwdriver,[OP010] Take screwdriver,39.36,40.4
[12] Assemble system,[OP010] Screw FIXA1 with B820,41.2,44.56
[5] Put down screwdriver,[OP010] Put down screwdriver,44.76,47.24
[9] Put down measuring rod,[OP010] Put down measuring rod,47.28,49.12
[3] Turn sheets,[OP020] Turn sheets,54.52,57.52
[2] Consult sheets,[OP020] Consult sheets,57.56,58.12
[7] Picking left,[OP020] Catch Fixture key LARD,58.76,60.64
[12] Assemble system,[OP020] Place LARD on P360-1,61.08,66.28
[7] Picking left,[OP020] Catch Bolt B820,66.56,69.32
[6] Picking in front,[OP020] Catch Fixation FIXA1,69.88,72.04
[12] Assemble system,[OP020] Place FIXA1 on LARD at 160mm,73.56,81.96
[4] Take screwdriver,[OP020] Take screwdriver,82.24,83.28
[8] Take measuring rod,[OP020] Take measuring rod,84.52,86.88
[12] Assemble system,[OP020] Screw FIXA1 with B820,87.72,92
[5] Put down screwdriver,[OP020] Put down screwdriver,92.32,93.04
[9] Put down measuring rod,[OP020] Put down measuring rod,93.12,95.44
[2] Consult sheets,[OP030] Consult sheets,107.12,110.04
[7] Picking left,[OP030] Catch Fixture key LARD (x2),111.12,112.8
[12] Assemble system,[OP030] Place LARD on P360-1 (x2),116.88,118.84
[6] Picking in front,[OP030] Catch Fixation FIXT (x2),124.48,128.64
[12] Assemble system,[OP030] Place FIXT on LARD (x2),130,134.60001
[6] Picking in front,[OP030] Catch Pillow block bearing PAL4019 (x2),136.44,138.60001
[12] Assemble system,[OP030] Place PAL4019 on FIXT (x2),138.75999,141
[7] Picking left,[OP030] Catch Bolt B840 (x2),143.88,145.52
[4] Take screwdriver,[OP030] Take screwdriver,148.16,148.8
[12] Assemble system,[OP030] Screw PAL4019 with B820 (x2),148.88,153.16
[5] Put down screwdriver,[OP030] Put down screwdriver,153.24001,155.60001
[6] Picking in front,[OP030] Catch Cover CAPO (x2),156.88,159.16
[2] Consult sheets,[OP030] Consult sheets,160,164.36
[12] Assemble system,[OP030] Place CAPO on P360-1(x2),165.8,168.12
[7] Picking left,[OP030] Catch Fixture key LARD (x2),171.08,172.67999
[12] Assemble system,[OP030] Place LARD on P360-1 (x2),173.44,175.44
[6] Picking in front,[OP030] Catch Fixation FIXT (x2),176.36,178.16
[12] Assemble system,[OP030] Place FIXT on LARD (x2),179.03999,183.36
[6] Picking in front,[OP030] Catch Pillow block bearing PAL4019 (x2),184.88,186.32001
[12] Assemble system,[OP030] Place PAL4019 on FIXT (x2),186.64,187.60001
[7] Picking left,[OP030] Catch Bolt B840 (x2),188.2,189.96001
[4] Take screwdriver,[OP030] Take screwdriver,191.36,193.08
[12] Assemble system,[OP030] Screw PAL4019 with B820 (x2),193.84,196.24001
[5] Put down screwdriver,[OP030] Put down screwdriver,196.56,198.60001
[6] Picking in front,[OP030] Catch Cover CAPO (x2),199.16,200.84
[12] Assemble system,[OP030] Place CAPO on P360-1(x2),201.48,204.8
[14] Put down subsystem,[OP030] Put down Profile P360-1,217.52,224.39999
[3] Turn sheets,[OP040] Turn sheets,242.24001,245.39999
[2] Consult sheets,[OP040] Consult sheets,245.52,246.67999
[6] Picking in front,[OP040] Catch Fixation FIXA2,247.88,251.24001
[7] Picking left,[OP040] Catch Bolt B820,257.12,259.20001
[12] Assemble system,[OP040] Place FIXL on P360-2,259.79999,266.04001
[4] Take screwdriver,[OP040] Take screwdriver,266.44,267.76001
[12] Assemble system,[OP040] Screw FIXA2 with B820,268.23999,271
[5] Put down screwdriver,[OP040] Put down screwdriver,271.04001,272.56
